label,info, average_coverage ,variant_caller,sampleID,labID,paternalID,maternalID,sex,file_path
Trio14_Child,Cow_BisonSimmentalF1, 14.46 ,DV1.4_WGS.AF_OneTrio,UMCUSAM000000341713,341713,UMCUSAM000000341714,UMCUSAF000000339207,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio/UMCUSAM000000341713/UMCUSAM000000341713.vcf.gz
Trio14_Father,Cow_Bison , 27.44 ,DV1.4_WGS.AF_OneTrio,UMCUSAM000000341714,341714,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio/UMCUSAM000000341714/UMCUSAM000000341714.vcf.gz
Trio14_Mother,Cow_Simmental, 35.42 ,DV1.4_WGS.AF_OneTrio,UMCUSAF000000339207,339207,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio/UMCUSAF000000339207/UMCUSAF000000339207.vcf.gz
Trio14_Child,Cow_BisonSimmentalF1, 14.46 ,DV1.4_WGS.AF_OneTrio_AA_BR,UMCUSAM000000341713,341713,UMCUSAM000000341714,UMCUSAF000000339207,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_AA_BR/UMCUSAM000000341713/UMCUSAM000000341713.vcf.gz
Trio14_Father,Cow_Bison , 27.44 ,DV1.4_WGS.AF_OneTrio_AA_BR,UMCUSAM000000341714,341714,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_AA_BR/UMCUSAM000000341714/UMCUSAM000000341714.vcf.gz
Trio14_Mother,Cow_Simmental, 35.42 ,DV1.4_WGS.AF_OneTrio_AA_BR,UMCUSAF000000339207,339207,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_AA_BR/UMCUSAF000000339207/UMCUSAF000000339207.vcf.gz
Trio14_Child,Cow_BisonSimmentalF1, 14.46 ,DV1.4_WGS.AF_OneTrio_YK_HI,UMCUSAM000000341713,341713,UMCUSAM000000341714,UMCUSAF000000339207,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_YK_HI/UMCUSAM000000341713/UMCUSAM000000341713.vcf.gz
Trio14_Father,Cow_Bison , 27.44 ,DV1.4_WGS.AF_OneTrio_YK_HI,UMCUSAM000000341714,341714,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_YK_HI/UMCUSAM000000341714/UMCUSAM000000341714.vcf.gz
Trio14_Mother,Cow_Simmental, 35.42 ,DV1.4_WGS.AF_OneTrio_YK_HI,UMCUSAF000000339207,339207,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_YK_HI/UMCUSAF000000339207/UMCUSAF000000339207.vcf.gz
Trio12_Child,Cow_AngusBrahmanF1, 50.01 ,DT1.4_default_human,UMCUSAM000000341496,341496,UMCUSAU000000194551,UMCUSAU000000194550,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DT1.4_default_human/UMCUSAM000000341496/UMCUSAM000000341496.vcf.gz
Trio12_Father,Cow_Angus, 36.99 ,DT1.4_default_human,UMCUSAU000000194551,194551,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DT1.4_default_human/UMCUSAU000000194551/UMCUSAU000000194551.vcf.gz
Trio12_Mother,Cow_Brahman, 43.32 ,DT1.4_default_human,UMCUSAU000000194550,194550,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DT1.4_default_human/UMCUSAU000000194550/UMCUSAU000000194550.vcf.gz
