RunOrder,VariantCaller,SampleID,LabID,Species,Info,RefFASTA,PopVCF,RegionsFile,ReadsBAM,ModelCkpt,OutPath
1,DV1.4_cattle1,UMCUSAU000000194551,194551,Cow,Father_Trio12_Trio15,/storage/hpc/group/UMAG/REF_GENOME/ARS-UCD1.2_Btau5.0.1Y.fa,NA,NA,/storage/htc/schnabellab/results/9913/wgs/1kbulls_ars1.2/bam/194551.realigned.recalibrated.cram,/storage/hpc/group/UMAG_test/WORKING/jakth2/deep-variant/pretrained_models/DV1.4_cattle1/model.ckpt-43623,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_cattle1
2,DV1.4_cattle1,UMCUSAU000000194550,194550,Cow,Mother_Trio12_Trio15,/storage/hpc/group/UMAG/REF_GENOME/ARS-UCD1.2_Btau5.0.1Y.fa,NA,NA,/storage/htc/schnabellab/results/9913/wgs/1kbulls_ars1.2/bam/194550.realigned.recalibrated.cram,/storage/hpc/group/UMAG_test/WORKING/jakth2/deep-variant/pretrained_models/DV1.4_cattle1/model.ckpt-43623,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_cattle1
3,DV1.4_cattle1,UMCUSAM000000204543,204543,Cow,Father_Trio13_Trio16,/storage/hpc/group/UMAG/REF_GENOME/ARS-UCD1.2_Btau5.0.1Y.fa,NA,NA,/storage/htc/schnabellab/results/9913/wgs/1kbulls_ars1.2/bam/204543.realigned.recalibrated.cram,/storage/hpc/group/UMAG_test/WORKING/jakth2/deep-variant/pretrained_models/DV1.4_cattle1/model.ckpt-43623,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_cattle1
4,DV1.4_cattle1,UMCUSAF000000204544,204544,Cow,Mother_Trio13_Trio16,/storage/hpc/group/UMAG/REF_GENOME/ARS-UCD1.2_Btau5.0.1Y.fa,NA,NA,/storage/htc/schnabellab/results/9913/wgs/1kbulls_ars1.2/bam/204544.realigned.recalibrated.cram,/storage/hpc/group/UMAG_test/WORKING/jakth2/deep-variant/pretrained_models/DV1.4_cattle1/model.ckpt-43623,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_cattle1
5,DV1.4_cattle1,UMCUSAM000000341714,341714,Cow,Father_Trio14_Trio17,/storage/hpc/group/UMAG/REF_GENOME/ARS-UCD1.2_Btau5.0.1Y.fa,NA,NA,/storage/htc/schnabellab/results/9913/wgs/1kbulls_ars1.2/bam/341714.realigned.recalibrated.cram,/storage/hpc/group/UMAG_test/WORKING/jakth2/deep-variant/pretrained_models/DV1.4_cattle1/model.ckpt-43623,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_cattle1
6,DV1.4_cattle1,UMCUSAF000000339207,339207,Cow,Moher_Trio14_Trio17,/storage/hpc/group/UMAG/REF_GENOME/ARS-UCD1.2_Btau5.0.1Y.fa,NA,NA,/storage/htc/schnabellab/results/9913/wgs/1kbulls_ars1.2/bam/339207.realigned.recalibrated.cram,/storage/hpc/group/UMAG_test/WORKING/jakth2/deep-variant/pretrained_models/DV1.4_cattle1/model.ckpt-43623,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_cattle1
7,DV1.4_cattle1,NA24385,HG002,Human,Child_AshkenazimTrio,/storage/hpc/group/UMAG_test/WORKING/jakth2/230105_humanGIAB/reference/GRCh38_no_alt_analysis_set.fasta,NA,NA,/storage/hpc/group/UMAG_test/WORKING/jakth2/230105_humanGIAB/bam/HG002.GRCh38.2x250.bam,/storage/hpc/group/UMAG_test/WORKING/jakth2/deep-variant/pretrained_models/DV1.4_cattle1/model.ckpt-43623,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_cattle1
8,DV1.4_cattle1,NA24149,HG003,Human,Father_AshkenazimTrio,/storage/hpc/group/UMAG_test/WORKING/jakth2/230105_humanGIAB/reference/GRCh38_no_alt_analysis_set.fasta,NA,NA,/storage/hpc/group/UMAG_test/WORKING/jakth2/230105_humanGIAB/bam/HG003.GRCh38.2x250.bam,/storage/hpc/group/UMAG_test/WORKING/jakth2/deep-variant/pretrained_models/DV1.4_cattle1/model.ckpt-43623,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_cattle1
9,DV1.4_cattle1,NA24143,HG004,Human,Mother_AshkenazimTrio,/storage/hpc/group/UMAG_test/WORKING/jakth2/230105_humanGIAB/reference/GRCh38_no_alt_analysis_set.fasta,NA,NA,/storage/hpc/group/UMAG_test/WORKING/jakth2/230105_humanGIAB/bam/HG004.GRCh38.2x250.bam,/storage/hpc/group/UMAG_test/WORKING/jakth2/deep-variant/pretrained_models/DV1.4_cattle1/model.ckpt-43623,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_cattle1
10,DV1.4_cattle1,NA24631,HG005,Human,Child_HanChineseTrio,/storage/hpc/group/UMAG_test/WORKING/jakth2/230105_humanGIAB/reference/GRCh38_no_alt_analysis_set.fasta,NA,NA,/storage/hpc/group/UMAG_test/WORKING/jakth2/230105_humanGIAB/bam/HG005.GRCh38_full_plus_hs38d1_analysis_set_minus_alts.300x.bam,/storage/hpc/group/UMAG_test/WORKING/jakth2/deep-variant/pretrained_models/DV1.4_cattle1/model.ckpt-43623,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_cattle1
